subject,phase,trial_global,block_type_raw,condition_raw,resp_raw,acc_raw,onset_abs_raw,keypress_abs_raw,rt_raw,block_type_proc,condition_proc,acc_proc,rt_proc,_merge,diff_ms,mismatch_reason
S001,1.0,53,正式,Congruent,y,1.0,378.11805950000416,379.0361851999769,0.918125699972734,正式,Congruent,1.0,0.918125699972734,both,0.0,
S001,1.0,54,正式,Congruent,y,1.0,384.1199440999772,384.82304029999074,0.7030962000135332,正式,Congruent,1.0,0.7030962000135332,both,0.0,
S001,1.0,55,正式,Congruent,y,1.0,390.1222364999703,391.3074433999718,1.1852069000015035,正式,Congruent,1.0,1.1852069000015035,both,0.0,
S001,1.0,56,正式,Congruent,,0.0,396.1231830000179,,,正式,Congruent,0.0,,both,,
S001,1.0,57,正式,Congruent,b,1.0,402.1252936000237,402.77740359999007,0.652109999966342,正式,Congruent,1.0,0.652109999966342,both,0.0,
S001,1.0,58,正式,Congruent,y,1.0,408.1273307999945,408.84520729997894,0.7178764999844134,正式,Congruent,1.0,0.7178764999844134,both,0.0,
S001,1.0,59,正式,Congruent,y,1.0,414.1114907999872,414.86222090001684,0.7507301000296138,正式,Congruent,1.0,0.7507301000296138,both,0.0,
S001,1.0,60,正式,Congruent,y,1.0,420.11239159997785,420.81433889997425,0.7019472999963909,正式,Congruent,1.0,0.7019472999963909,both,0.0,
S001,2.0,61,練習,Incongruent,y,1.0,530.7102510000113,531.5620146999718,0.8517636999604292,練習,Incongruent,1.0,0.8517636999604292,both,0.0,
S001,2.0,62,練習,Incongruent,y,1.0,536.7119038000237,537.4802665999741,0.7683627999504097,練習,Incongruent,1.0,0.7683627999504097,both,0.0,
S001,2.0,63,練習,Incongruent,y,1.0,542.7132962999749,543.5646393999923,0.8513431000174023,練習,Incongruent,1.0,0.8513431000174023,both,0.0,
S001,2.0,64,練習,Incongruent,b,1.0,548.7148757000105,549.9334118000115,1.2185361000010744,練習,Incongruent,1.0,1.2185361000010744,both,0.0,
S001,2.0,65,練習,Incongruent,y,1.0,554.7163844999741,555.7344027999789,1.0180183000047691,練習,Incongruent,1.0,1.0180183000047691,both,0.0,
S001,2.0,66,練習,Incongruent,y,1.0,560.7014108999865,561.6022525000153,0.900841600028798,練習,Incongruent,1.0,0.900841600028798,both,0.0,
S001,2.0,67,練習,Incongruent,b,1.0,566.7037443000008,567.9224084999878,1.2186641999869607,練習,Incongruent,1.0,1.2186641999869607,both,0.0,
S001,2.0,68,練習,Incongruent,b,1.0,572.7050432999968,573.9061904000118,1.2011471000150775,練習,Incongruent,1.0,1.2011471000150775,both,0.0,
S001,2.0,69,練習,Incongruent,b,1.0,578.7061251999694,579.574388100009,0.8682629000395536,練習,Incongruent,1.0,0.8682629000395536,both,0.0,
S001,2.0,70,練習,Incongruent,y,1.0,584.7078682999709,585.5925657000043,0.884697400033474,練習,Incongruent,1.0,0.884697400033474,both,0.0,
S001,2.0,71,正式,Incongruent,y,1.0,600.7624029999715,601.5965466999914,0.8341437000199221,正式,Incongruent,1.0,0.8341437000199221,both,0.0,
