subject,phase,block_type,trial_global,trial_block,condition,event,stim_class,stim,resp,rt,acc,err,all_keys,onset_abs,onset_total,onset_r1,onset_r2,target_onset_block,drift
S004,2,正式,110,40,Incongruent,,Gay 圖片,Gemini_Generated_Image_bd8y7qbd8y7qbd8y.png,b,0.7193487000185996,1,None,b:0.719,864.7669860000024,868.75,868.75,354.10,864.7503185999813,0.0001944000250659883
S004,2,正式,111,41,Incongruent,,中 負向 文字,分心,y,1.3849172000191174,1,None,y:1.385,880.7544038000051,884.76,884.76,370.11,880.7503185999813,0.005472699995152652
S004,2,正式,112,42,Incongruent,,高 正向 文字,狂喜,b,1.0187007000204176,1,None,b:1.019,886.7559932000004,890.76,890.76,376.11,886.7503185999813,0.007671400031540543
S004,2,正式,113,43,Incongruent,,高 負向 文字,受威脅,y,1.2852559000020847,1,None,y:1.285,892.7578848999692,896.76,896.76,382.11,892.7503185999813,0.007971399987582117
S004,2,正式,114,44,Incongruent,,低 正向 文字,自在,b,1.0017783000366762,1,None,b:1.002,898.7599735999829,902.76,902.76,388.11,898.7503185999813,0.009457400010433048
S004,2,正式,115,45,Incongruent,,低 正向 文字,若有所思,y,1.368439500045497,0,Wrong,y:1.368,904.760874199972,908.76,908.76,394.11,904.7503185999813,0.011845200031530112
S004,2,正式,116,46,Incongruent,,Gay 圖片,Gemini_Generated_Image_qcheitqcheitqche (1).png,b,0.9016376999788918,1,None,b:0.902,910.7625610000105,914.76,914.76,400.12,910.7503185999813,0.013430499995592982
S004,2,正式,117,47,Incongruent,,高 正向 文字,容光煥發,b,1.2686623000190593,1,None,b:1.269,916.7647313000052,920.77,920.77,406.12,916.7503185999813,0.015193600032944232
S004,2,正式,118,48,Incongruent,,Gay 圖片,Gemini_Generated_Image_de198wde198wde19.png,b,0.9012383000226691,1,None,b:0.901,922.7657458999893,926.77,926.77,412.12,922.7503185999813,0.01681320002535358
S004,2,正式,119,49,Incongruent,,Gay 圖片,Gemini_Generated_Image_941ux7941ux7941u (2).png,b,1.0691456999629736,1,None,b:1.069,928.7506815000088,932.75,932.75,418.10,928.7503185999813,0.0010882000206038356
S004,2,正式,120,50,Incongruent,,Gay 圖片,Gemini_Generated_Image_941ux7941ux7941u (2).png,b,1.1514982999651693,1,None,b:1.151,934.7527013000217,938.76,938.76,424.11,934.7503185999813,0.0043543000356294215
S004,2,正式,120,0,Incongruent,Run2正式結束,,,,,,EVENT,,1763878782.2589874,938.76,938.76,424.11,,
S004,2,Run End,120,0,Incongruent,Run 2 結束,,,,,,EVENT,,1763878786.2752373,942.77,942.77,428.12,,
